,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Age,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
10 to 14 years,224,204,228,198,224,187,213,191,227,215,233,221,248,230,224,212
15 to 19 years,226,176,222,177,221,180,228,188,226,189,208,178,198,182,193,164
20 to 24 years,228,167,214,157,227,149,218,154,231,157,251,164,223,156,193,134
25 to 29 years,238,203,244,197,230,173,230,173,236,168,236,169,218,176,222,176
30 to 34 years,248,195,271,197,268,205,261,221,252,213,251,223,254,232,235,198
35 to 39 years,228,169,211,178,207,183,227,183,238,181,242,191,260,196,271,195
40 to 44 years,233,191,230,189,233,177,233,170,232,166,229,154,202,166,182,166
45 to 49 years,297,249,273,219,237,213,226,200,216,196,217,183,226,175,224,163
50 to 54 years,318,296,311,282,314,269,302,261,309,255,280,243,261,227,221,216
55 to 59 years,336,274,326,292,320,298,312,301,298,287,292,280,300,275,303,261
60 to 64 years,248,212,262,210,272,208,303,233,307,254,332,278,345,294,337,307
65 to 69 years,156,170,164,164,189,174,186,182,206,190,220,188,228,200,239,196
70 to 74 years,126,162,124,161,125,149,138,135,134,140,131,142,142,139,172,153
Total,3106,2668,3080,2621,3067,2565,3077,2592,3112,2611,3122,2614,3105,2648,3016,2541
